                                                                                           ,,,"Spring 2025 Final Exam Schedule
Updated April 30, 2025",,,,,
"Note: If you have a conflict, please speak to your instructors. All conflicts must be resolved between the instructors and the student.",,,,,,,,
"To filter data, click the drop-down arrow on the column you want to filter: 
- Use the search box to find specific values.
- Check or uncheck boxes next to the values you want to filter.
- Select ""Add current selection to filter"" to add to your class list.
If you can't find your class, try typing the first few letters, and it should show up in the filter selection.",,,,,,,,
,,,,,,,,
Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,AAID 240 M09,Visualization II,Balza Gerardino,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,AAID 240 W01,Visualization II,Reid,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 140",Long Island
Spring 2025,AAID 240 W02,Visualization II,Callender,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 231",Long Island
Spring 2025,AAID 240 W03,Visualization II,Zeit,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"Education Hall, Rm. 213",Long Island
Spring 2025,ACCT 101 M01,Accounting I,Chan,"Wednesday, May 14, 2025",10:30 AM,12:30 PM,"26 W. 61st St., Rm. 11",New York City
Spring 2025,ACCT 102 M01,Accounting II,Ozelli,"Wednesday, May 14, 2025",10:30 AM,12:30 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,ACCT 102 W01,Accounting II,Holzer,"Wednesday, May 14, 2025",10:30 AM,12:30 PM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,ACCT 110 M01,Managerial Accounting,Chan,"Monday, May 12, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 504",New York City
Spring 2025,ACCT 110 W01,Managerial Accounting,Yun,"Monday, May 12, 2025",8:15 AM,10:15 AM,"Harry J. Schure Hall, Rm. 236",Long Island
Spring 2025,ACCT 315 M01,Financial Statement Analysis,Yun,"Monday, May 12, 2025",12:45 PM,2:45 PM,Zoom,New York City
Spring 2025,ACCT 315 W01,Financial Statement Analysis,Yun,"Monday, May 12, 2025",12:45 PM,2:45 PM,Zoom,Long Island
Spring 2025,ACCT 501 M01,Accounting I,Akazi,"Thursday, May 15, 2025",8:30 PM,9:50 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ACCT 601 M01,Managerial Accounting,Yun,"Tuesday, May 13, 2025",5:45 PM,8:25 PM,"26 W. 61st St., Rm. 502",New York City
